capacity,aggregation,eviction,t,occupancy
1024,exact,lru,11.6,1024
1024,exact,lru,11.666666666666666,1024
1024,exact,lru,11.733333333333333,1024
1024,exact,lru,11.8,1024
1024,exact,lru,11.866666666666667,1024
1024,exact,lru,11.933333333333334,1024
1024,exact,lru,12.0,1024
1024,exact,lru,12.066666666666666,1024
1024,exact,lru,12.133333333333333,1024
1024,exact,lru,12.2,1024
1024,exact,lru,12.266666666666667,1024
1024,exact,lru,12.333333333333334,1024
1024,exact,lru,12.4,1024
1024,exact,lru,12.466666666666667,1024
1024,exact,lru,12.533333333333333,1024
1024,exact,lru,12.6,1024
1024,exact,lru,12.666666666666666,1024
1024,exact,lru,12.733333333333333,1024
1024,exact,lru,12.8,1024
1024,exact,lru,12.866666666666667,1024
1024,exact,lru,12.933333333333334,1024
1024,exact,lru,13.0,1024
1024,exact,lru,13.066666666666666,1024
1024,exact,lru,13.133333333333333,1024
1024,exact,lru,13.2,1024
1024,exact,lru,13.266666666666667,1024
1024,exact,lfu,0.0,1
1024,exact,lfu,0.06666666666666667,193
1024,exact,lfu,0.13333333333333333,383
1024,exact,lfu,0.2,577
1024,exact,lfu,0.26666666666666666,770
1024,exact,lfu,0.3333333333333333,959
1024,exact,lfu,0.4,1024
1024,exact,lfu,0.4666666666666667,1024
1024,exact,lfu,0.5333333333333333,1024
1024,exact,lfu,0.6,1024
1024,exact,lfu,0.6666666666666666,1024
1024,exact,lfu,0.7333333333333333,1024
1024,exact,lfu,0.8,1024
1024,exact,lfu,0.8666666666666667,1024
1024,exact,lfu,0.9333333333333333,1024
1024,exact,lfu,1.0,1024
1024,exact,lfu,1.0666666666666667,1024
1024,exact,lfu,1.1333333333333333,1024
1024,exact,lfu,1.2,1024
1024,exact,lfu,1.2666666666666666,1024
1024,exact,lfu,1.3333333333333333,1024
1024,exact,lfu,1.4,1024
1024,exact,lfu,1.4666666666666666,1024
1024,exact,lfu,1.5333333333333334,1024
1024,exact,lfu,1.6,1024
1024,exact,lfu,1.6666666666666667,1024
1024,exact,lfu,1.7333333333333334,1024
1024,exact,lfu,1.8,1024
1024,exact,lfu,1.8666666666666667,1024
1024,exact,lfu,1.9333333333333333,1024
1024,exact,lfu,2.0,1024
1024,exact,lfu,2.066666666666667,1024
1024,exact,lfu,2.1333333333333333,1024
1024,exact,lfu,2.2,1024
1024,exact,lfu,2.2666666666666666,1024
1024,exact,lfu,2.3333333333333335,1024
1024,exact,lfu,2.4,1024
1024,exact,lfu,2.466666666666667,1024
1024,exact,lfu,2.533333333333333,1024
1024,exact,lfu,2.6,1024
1024,exact,lfu,2.6666666666666665,1024
1024,exact,lfu,2.7333333333333334,1024
1024,exact,lfu,2.8,1024
1024,exact,lfu,2.8666666666666667,1024
1024,exact,lfu,2.933333333333333,1024
1024,exact,lfu,3.0,1024
1024,exact,lfu,3.066666666666667,1024
1024,exact,lfu,3.1333333333333333,1024
1024,exact,lfu,3.2,1024
1024,exact,lfu,3.2666666666666666,1024
1024,exact,lfu,3.3333333333333335,1024
1024,exact,lfu,3.4,1024
1024,exact,lfu,3.466666666666667,1024
1024,exact,lfu,3.533333333333333,1024
1024,exact,lfu,3.6,1024
1024,exact,lfu,3.6666666666666665,1024
1024,exact,lfu,3.7333333333333334,1024
1024,exact,lfu,3.8,1024
1024,exact,lfu,3.8666666666666667,1024
1024,exact,lfu,3.933333333333333,1024
1024,exact,lfu,4.0,1024
1024,exact,lfu,4.066666666666666,1024
1024,exact,lfu,4.133333333333334,1024
1024,exact,lfu,4.2,1024
1024,exact,lfu,4.266666666666667,1024
1024,exact,lfu,4.333333333333333,1024
1024,exact,lfu,4.4,1024
1024,exact,lfu,4.466666666666667,1024
1024,exact,lfu,4.533333333333333,1024
1024,exact,lfu,4.6,1024
1024,exact,lfu,4.666666666666667,1024
1024,exact,lfu,4.733333333333333,1024
1024,exact,lfu,4.8,1024
1024,exact,lfu,4.866666666666666,1024
1024,exact,lfu,4.933333333333334,1024
1024,exact,lfu,5.0,1024
1024,exact,lfu,5.066666666666666,1024
1024,exact,lfu,5.133333333333334,1024
1024,exact,lfu,5.2,1024
1024,exact,lfu,5.266666666666667,1024
1024,exact,lfu,5.333333333333333,1024
1024,exact,lfu,5.4,1024
1024,exact,lfu,5.466666666666667,1024
1024,exact,lfu,5.533333333333333,1024
1024,exact,lfu,5.6,1024
1024,exact,lfu,5.666666666666667,1024
1024,exact,lfu,5.733333333333333,1024
1024,exact,lfu,5.8,1024
1024,exact,lfu,5.866666666666666,1024
1024,exact,lfu,5.933333333333334,1024
1024,exact,lfu,6.0,1024
1024,exact,lfu,6.066666666666666,1024
1024,exact,lfu,6.133333333333334,1024
1024,exact,lfu,6.2,1024
1024,exact,lfu,6.266666666666667,1024
1024,exact,lfu,6.333333333333333,1024
1024,exact,lfu,6.4,1024
1024,exact,lfu,6.466666666666667,1024
1024,exact,lfu,6.533333333333333,1024
1024,exact,lfu,6.6,1024
1024,exact,lfu,6.666666666666667,1024
1024,exact,lfu,6.733333333333333,1024
1024,exact,lfu,6.8,1024
1024,exact,lfu,6.866666666666666,1024
1024,exact,lfu,6.933333333333334,1024
1024,exact,lfu,7.0,1024
1024,exact,lfu,7.066666666666666,1024
1024,exact,lfu,7.133333333333334,1024
1024,exact,lfu,7.2,1024
1024,exact,lfu,7.266666666666667,1024
1024,exact,lfu,7.333333333333333,1024
1024,exact,lfu,7.4,1024
1024,exact,lfu,7.466666666666667,1024
1024,exact,lfu,7.533333333333333,1024
1024,exact,lfu,7.6,1024
1024,exact,lfu,7.666666666666667,1024
1024,exact,lfu,7.733333333333333,1024
1024,exact,lfu,7.8,1024
1024,exact,lfu,7.866666666666666,1024
1024,exact,lfu,7.933333333333334,1024
1024,exact,lfu,8.0,1024
1024,exact,lfu,8.066666666666666,1024
1024,exact,lfu,8.133333333333333,1024
1024,exact,lfu,8.2,1024
1024,exact,lfu,8.266666666666667,1024
1024,exact,lfu,8.333333333333334,1024
1024,exact,lfu,8.4,1024
1024,exact,lfu,8.466666666666667,1024
1024,exact,lfu,8.533333333333333,1024
1024,exact,lfu,8.6,1024
1024,exact,lfu,8.666666666666666,1024
1024,exact,lfu,8.733333333333333,1024
